Deputado,Tipo,Municipio,Votos No Municipio,Bairro,Votos No Bairro,RCAN_UESP,RUESP_CAN,RUESP
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Comendador Soares,213,0.007552,0.084156,0.079325
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Corumbá,29,0.003663,0.011458,0.022264
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,da Cerâmica,4,0.002551,0.00158,0.00441
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,da Luz,54,0.00524,0.021335,0.028986
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,da Palhada,33,0.005174,0.013038,0.017938
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,da Posse,97,0.008215,0.038325,0.033211
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,da Prata,16,0.003212,0.006322,0.014009
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,da Viga,78,0.005505,0.030818,0.039851
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Engenho Pequeno,34,0.00493,0.013433,0.019395
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Geneciano,2,0.002022,0.00079,0.002782
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Grama,24,0.004606,0.009482,0.014656
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Iguaçu Velho,5,0.01073,0.001976,0.001311
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Inconfidência,3,0.014925,0.001185,0.000565
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Ipiranga,25,0.004058,0.009878,0.017325
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Jardim Alvorada,57,0.008122,0.022521,0.019738
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Jardim Guandu,59,0.011692,0.023311,0.014192
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Jardim Iguaçu,15,0.005796,0.005927,0.007279
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Jardim Nova Era,34,0.004834,0.013433,0.019783
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Jardim Pernambuco,4,0.003663,0.00158,0.003071
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Jardim Tropical,16,0.00326,0.006322,0.013804
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Kennedy,8,0.003285,0.003161,0.006849
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Km - 32,73,0.015539,0.028842,0.013213
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Lagoinha,31,0.016739,0.012248,0.005209
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Montevidéu,1,0.002611,0.000395,0.001077
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Moquetá,22,0.006561,0.008692,0.00943
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Nova América,26,0.014085,0.010273,0.005192
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Paraíso,20,0.005806,0.007902,0.009689
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Parque Ambaí,114,0.005957,0.045041,0.053824
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Parque Flora,11,0.007725,0.004346,0.004005
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Ponto Chic,148,0.015208,0.058475,0.027372
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Prados Verdes,90,0.030222,0.035559,0.008376
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Rancho Fundo,54,0.003844,0.021335,0.039513
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Rancho Novo,1,0.00271,0.000395,0.001038
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Riachão,9,0.00784,0.003556,0.003229
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Rodilândia,26,0.005404,0.010273,0.013531
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Rosa dos Ventos,55,0.008931,0.021731,0.01732
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Santa Eugênia,53,0.005603,0.02094,0.026604
Rosenverg Reis,Estaduais,Nova Iguaçu,2531,Santa Rita,11,0.002347,0.004346,0.013182
